BSX,Boston Scientific Corporation,69.72B,46.91,-0.55%,20.61B
MSI,"Motorola Solutions, Inc.",68.43B,412.25,0.46%,11.87B
WBD,"Warner Bros. Discovery, Inc.",67.63B,26.98,0.45%,37.21B
URI,"United Rentals, Inc.",67.30B,"1,074.24",0.54%,16.37B
NKE,"NIKE, Inc.",66.54B,44.93,-2.24%,46.52B
FIX,"Comfort Systems USA, Inc.",65.99B,"1,877.61",1.85%,10.14B
DLR,"Digital Realty Trust, Inc.",65.89B,184.20,0.74%,6.31B
DASH,"DoorDash, Inc.",65.61B,150.58,-2.59%,14.72B
TRV,"The Travelers Companies, Inc.",64.74B,304.46,0.18%,48.94B
RSG,"Republic Services, Inc.",64.58B,209.91,0.89%,16.70B
TFC,Truist Financial Corporation,64.36B,51.66,1.93%,18.66B
HPE,Hewlett Packard Enterprise Company,63.79B,48.17,2.93%,38.79B
CIEN,Ciena Corporation,63.13B,445.98,0.17%,5.57B
TER,"Teradyne, Inc.",63.12B,403.20,5.72%,3.79B
APD,"Air Products and Chemicals, Inc.",62.71B,281.62,1.26%,12.46B
BKR,Baker Hughes Company,62.64B,63.14,-0.54%,27.89B
PCAR,PACCAR Inc,62.38B,118.52,0.80%,27.78B
REGN,"Regeneron Pharmaceuticals, Inc.",62.28B,612.14,0.11%,14.92B
GWW,"W.W. Grainger, Inc.",62.13B,"1,315.87",0.15%,18.38B
TGT,Target Corporation,61.42B,135.23,1.95%,106.38B
TEL,TE Connectivity plc,61.41B,210.38,1.27%,18.70B
NUE,Nucor Corporation,60.66B,266.35,2.09%,34.16B
SRE,Sempra,60.33B,92.29,0.82%,13.56B
AFL,Aflac Incorporated,59.96B,117.80,1.16%,18.11B
KEYS,"Keysight Technologies, Inc.",59.93B,350.67,3.13%,6.09B
D,"Dominion Energy, Inc.",59.73B,67.91,1.83%,17.45B
F,Ford Motor Company,59.13B,14.84,0.88%,189.86B
O,Realty Income Corporation,58.65B,62.72,1.31%,5.93B
TRGP,Targa Resources Corp.,58.51B,272.60,1.20%,16.56B
CARR,Carrier Global Corporation,58.07B,69.91,0.24%,21.87B
PSA,Public Storage,57.37B,325.94,0.38%,4.87B
LHX,"L3Harris Technologies, Inc.",57.34B,307.79,-1.40%,22.48B
MET,"MetLife, Inc.",57.16B,88.84,1.44%,77.58B
OKE,"ONEOK, Inc.",57.07B,90.59,1.56%,35.20B
ALL,The Allstate Corporation,57.05B,221.63,0.94%,68.17B
OXY,Occidental Petroleum Corporation,56.24B,56.54,1.93%,21.12B
AJG,Arthur J. Gallagher & Co.,56.19B,218.69,-1.00%,14.20B
COR,"Cencora, Inc.",54.80B,281.67,0.07%,328.68B
DAL,"Delta Air Lines, Inc.",54.27B,83.06,1.50%,65.18B
FANG,"Diamondback Energy, Inc.",54.05B,192.13,0.28%,14.46B
FAST,Fastenal Company,53.46B,46.57,0.39%,8.44B
CAH,"Cardinal Health, Inc.",52.43B,223.85,1.22%,250.74B
DVN,Devon Energy Corporation,52.26B,45.31,1.57%,16.00B
AME,"AMETEK, Inc.",52.06B,227.12,0.40%,7.60B
MCHP,Microchip Technology Incorporated,51.63B,95.24,2.47%,4.71B
ROK,"Rockwell Automation, Inc.",51.11B,459.34,0.38%,8.80B
ODFL,"Old Dominion Freight Line, Inc.",51.11B,245.75,-0.81%,5.46B
AZO,"AutoZone, Inc.",51.01B,"3,116.30",1.13%,19.99B
EA,Electronic Arts Inc.,50.97B,203.27,0.11%,7.53B
CTVA,"Corteva, Inc.",50.92B,76.14,1.71%,17.89B
ETR,Entergy Corporation,50.88B,111.11,1.11%,13.29B
